CIRCOSCRIZIONE,COLLEGIO PLURINOMINALE,COLLEGIO UNINOMINALE,COMUNE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,COSSANO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,CUCEGLIO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,CUORGNE'
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,FAVRIA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,FELETTO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,FIANO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,FIORANO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,FORNO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,FRASSINETTO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,FRONT
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,GERMAGNANO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,GROSCAVALLO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,GROSSO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,INGRIA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,ISSIGLIO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,IVREA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,LANZO TORINESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,LEMIE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,LESSOLO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,LEVONE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,LOCANA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,LORANZE'
