CIRCOSCRIZIONE,COLLEGIO PLURINOMINALE,COLLEGIO UNINOMINALE,COMUNE
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,PRESEZZO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,ROBBIATE
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,RONCOLA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,ROTA D'IMAGNA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,SANT'OMOBONO TERME
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,SANTA MARIA HOE'
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,SIRTORI
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,SOLZA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,SOTTO IL MONTE GIOVANNI XXIII
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,STROZZA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,SUISIO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,TERNO D'ISOLA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,UBIALE CLANEZZO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,VAL BREMBILLA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,VERDERIO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,VIGANO'
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 07 - MERATE,VILLA D'ADDA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,ABBADIA LARIANA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,AIRUNO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,ANNONE DI BRIANZA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,BALLABIO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,BARZAGO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,BARZIO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,BELLANO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,BOSISIO PARINI
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,BRIVIO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,BULCIAGO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,CALOLZIOCORTE
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,CARENNO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,CASARGO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,CASSINA VALSASSINA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,CASTELLO DI BRIANZA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,CESANA BRIANZA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,CIVATE
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,COLICO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,COLLE BRIANZA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,CORTENOVA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,COSTA MASNAGA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,CRANDOLA VALSASSINA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,CREMENO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,DERVIO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,DOLZAGO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,DORIO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,ELLO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,ERVE
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,ESINO LARIO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,GALBIATE
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,GARBAGNATE MONASTERO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,GARLATE
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,INTROBIO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,LECCO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,LIERNA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,MALGRATE
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,MANDELLO DEL LARIO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,MARGNO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,MOGGIO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,MOLTENO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,MONTE MARENZO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,MORTERONE
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,NIBIONNO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,OGGIONO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,OLGINATE
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,OLIVETO LARIO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,PAGNONA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,PARLASCO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,PASTURO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,PERLEDO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,PESCATE
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,PREMANA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,PRIMALUNA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,ROGENO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,SIRONE
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,SUEGLIO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,SUELLO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,TACENO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,TORRE DE' BUSI
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,VALGREGHENTINO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,VALMADRERA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,VALVARRONE
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,VARENNA
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,VENDROGNO
LOMBARDIA 2,LOMBARDIA 2 - 02,LOMBARDIA 2 - 08 - LECCO,VERCURAGO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 01 - BRESCIA,BORGOSATOLLO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 01 - BRESCIA,BOVEZZO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 01 - BRESCIA,BRESCIA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 01 - BRESCIA,CASTEL MELLA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 01 - BRESCIA,CASTENEDOLO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 01 - BRESCIA,CELLATICA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 01 - BRESCIA,COLLEBEATO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 01 - BRESCIA,FLERO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 01 - BRESCIA,NAVE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 01 - BRESCIA,RONCADELLE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 01 - BRESCIA,SAN ZENO NAVIGLIO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,AGNOSINE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,ANFO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,ANGOLO TERME
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,ARTOGNE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,BAGOLINO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,BARGHE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,BERZO DEMO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,BERZO INFERIORE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,BIENNO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,BIONE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,BORNO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,BOVEGNO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,BRAONE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,BRENO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,BRIONE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,CAINO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,CAPO DI PONTE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,CAPOVALLE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,CASTO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,CEDEGOLO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,CERVENO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,CETO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,CEVO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,CIMBERGO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,CIVIDATE CAMUNO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,COLLIO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,CONCESIO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,CORTENO GOLGI
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,DARFO BOARIO TERME
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,EDOLO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,ESINE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,GARDONE RIVIERA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,GARDONE VAL TROMPIA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,GARGNANO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,GIANICO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,IDRO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,INCUDINE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,IRMA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,LAVENONE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,LIMONE SUL GARDA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,LODRINO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,LOSINE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,LOZIO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,LUMEZZANE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,MAGASA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,MALEGNO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,MALONNO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,MARCHENO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,MARMENTINO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,MARONE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,MONNO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,MONTE ISOLA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,MONTICELLI BRUSATI
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,MURA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,NIARDO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,ODOLO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,ONO SAN PIETRO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,OSSIMO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,PAISCO LOVENO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,PASPARDO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,PERTICA ALTA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,PERTICA BASSA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,PEZZAZE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,PIAN CAMUNO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,PIANCOGNO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,PISOGNE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,POLAVENO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,PONTE DI LEGNO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,PRESEGLIE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,PROVAGLIO VAL SABBIA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,ROE' VOLCIANO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,SABBIO CHIESE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,SALE MARASINO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,SAREZZO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,SAVIORE DELL'ADAMELLO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,SELLERO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,SONICO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,SULZANO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,TAVERNOLE SUL MELLA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,TEMU'
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,TIGNALE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,TOSCOLANO-MADERNO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,TREMOSINE SUL GARDA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,TREVISO BRESCIANO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,VALLIO TERME
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,VALVESTINO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,VESTONE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,VEZZA D'OGLIO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,VILLA CARCINA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,VILLANUOVA SUL CLISI
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,VIONE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,VOBARNO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 02 - LUMEZZANE,ZONE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,ACQUAFREDDA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,BEDIZZOLE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,BOTTICINO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,CALCINATO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,CALVAGESE DELLA RIVIERA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,CALVISANO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,CARPENEDOLO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,DESENZANO DEL GARDA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,GAVARDO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,GHEDI
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,GOTTOLENGO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,ISORELLA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,LONATO DEL GARDA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,MANERBA DEL GARDA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,MAZZANO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,MONIGA DEL GARDA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,MONTICHIARI
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,MUSCOLINE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,NUVOLENTO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,NUVOLERA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,PADENGHE SUL GARDA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,PAITONE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,POLPENAZZE DEL GARDA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,POZZOLENGO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,PREVALLE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,PUEGNAGO DEL GARDA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,REZZATO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,SALO'
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,SAN FELICE DEL BENACO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,SERLE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,SIRMIONE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,SOIANO DEL LAGO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 03 - DESENZANO DEL GARDA,VISANO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,ADRO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,BERLINGO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,CAPRIOLO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,CASTEGNATO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,CASTELCOVATI
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,CASTREZZATO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,CAZZAGO SAN MARTINO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,CHIARI
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,COCCAGLIO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,COLOGNE
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,COMEZZANO-CIZZAGO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,CORTE FRANCA
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,ERBUSCO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,GUSSAGO
LOMBARDIA 3,LOMBARDIA 3 - 01,LOMBARDIA 3 - 04 - PALAZZOLO SULL'OGLIO,ISEO
